id,공고번호,공고제목,발주처(수요기관),지역제한,기초금액,예정가격,예가범위,A값,투찰률(%),참여업체수,공고구분표시,정답사정률(%)
1,20141227418-00,신수중학교 선진형 교과교실제 구축 리모델링 통신 공사,서울특별시서부교육청,서울,15094000,15229125,+3% ~ -3%,0,87.745,635,,0.89522
2,20141226652-00,노원자원회수시설 옥외전광판 개선공사 (긴급공고),한불에너지관리(주),서울,149083000,149077475,+3% ~ -3%,0,87.745,94,기,-0.00371
3,20141222438-00,도심권 및 주요도로 도로전광표지 정비공사(연간단가),서울시설공단,서울,150000000,150213000,+3% ~ -3%,0,87.745,778,,0.14200
4,20141222632-01,고정형 불법 주.정차 무인단속 CCTV 이전 설치 공사 (정정공고),서울특별시,서울,37300000,37026175,+3% ~ -3%,0,87.745,425,기/정,-0.73412
5,20141224237-00,2015년도 민방위 경보시설 유지관리 용역,경기도,서울/경기,29120000,29172125,+3% ~ -3%,0,87.745,11,,0.17900
6,20141221359-00,9호선 930역사-2호선 종합운동장역 연락회선 광케이블 공사,서울교통공사,서울,19000000,18969125,+3% ~ -3%,0,90,701,,-0.16250
7,20141218308-00,2015년 도시고속도로 교통관리시스템 통신공사(연간단가),서울시설공단,서울,229966000,226125600,+3% ~ -3%,0,87.745,825,,-1.66999
8,20141219034-00,2015년도 국회구내전자교환기 유지보수용역,국회,서울,44000000,44002700,+2% ~ -2%,0,88,21,,0.00613
9,E01-14-07382,"내곡, 천왕2 배전자동화용 광통신망 시설공사",한국전력공사,서울,73610460,73730365,+2.5% ~ -2.5%,0,87.745,676,,0.16289
10,20141222110-01,서울시흥동우체국 건립공사(정보통신공사) (정정공고),과학기술정보통신부,서울,34571000,34560925,+2% ~ -2%,0,87.745,845,기/정,-0.02915
11,20141221115-00,경부선 신도림역 시각장애인용 음성유도 신설공사,한국철도공사,서울,33100000,32407450,+0% ~ -4%,0,87.745,807,기,-2.09230
12,20141220441-00,경부선 안영역외 4개소 관제지국 보수공사,한국철도공사,서울/경기,36050000,35240925,0% ~ -4%,0,87.745,1518,기,-2.24432
13,20141201368-00,서울지하철 9호선연장건설(3단계) 2구간 정보통신공사 (긴급공고),서울지방조달청/서울특별시,전국/서울,6594367000,6560867675,+3% ~ -3%,0,85.495,397,기/의무,-0.50800
14,20141201348-00,서울 지하철 9호선연장건설(3단계) 1구간 정보통신공사 (긴급공고),서울지방조달청/서울특별시,전국/서울,6729021000,6768015725,+3% ~ -3%,0,85.495,396,기/의무,0.57950
15,20141124845-00,마포세무서 청사신축공사 통신공사,서울지방조달청/국세청,전국/서울,1695212000,1687291150,+2% ~ -2%,0,86.745,787,기/의무,-0.46725
16,20141123909-00,반포세무서 청사신축공사 통신공사,서울지방조달청/국세청,전국/서울,910576000,904420575,+2% ~ -2%,0,86.745,908,기/의무,-0.67600
17,20141218010-00,벨로드롬 시설개선 통신공사,서울올림픽기념국민체육진흥공단,서울,69552560,69669600,+2% ~ -2%,0,87.745,923,,0.16827
18,20141211823-00,(긴급)국립중앙극장 전속단체 공연연습장 건립 정보통신공사,서울지방조달청/문화체육관광부,서울,203585000,204997925,+2% ~ -2%,0,87.745,850,기/협정,0.69402
19,20141213376-00,장외지점(12개지점) CCTV 설치 관련 통신공사 (긴급공고),서울올림픽기념국민체육진흥공단,서울/경기,85580000,85507725,+2% ~ -2%,0,87.745,1705,,-0.08446
20,20141213236-00,광명스피돔 지정좌석실 환경개선 통신공사 (긴급공고),서울올림픽기념국민체육진흥공단,서울/경기,121077000,121907050,+2% ~ -2%,0,87.745,1656,,0.68555
21,20141212422-00,창덕여자중학교 미래학교 구축 통신공사 (긴급공고),서울특별시교육청,서울,133416000,132583200,+3% ~ -3%,0,87.745,899,기,-0.62422
22,20141212174-00,2014년 보신각 방범시설 [CCTV] 설치사업 (긴급공고),서울특별시,서울,154830000,154779725,+3% ~ -3%,0,87.745,868,기,-0.03248
23,20141213138-01,2015년 생활방범용 CCTV 유지보수 용역 (정정공고),경기도,서울/경기,33315000,33592925,+3% ~ -3%,0,87.745,41,기/정,0.83423
24,20141214967-00,서울우장초등학교 본관동 노후시설개선 통신공사 및 기타공사,서울특별시교육청,서울,23873000,23529750,+3% ~ -3%,0,87.745,157,협정,-1.43782
