id,공고번호,공고제목,발주처(수요기관),지역제한,기초금액,예정가격,예가범위,A값,투찰률(%),참여업체수,공고구분표시,정답사정률(%)
1,20151224271-00,경인선 개봉역 등 2개소 열차행선안내장치 신설공사,한국철도공사,서울/인천,100917000,99247625,+0% ~ -4%,0,87.745,1017,기,-1.65421
2,20151224142-00,2015년도 지하철 종로3가(3)역 승강편의시설 공사에 따른 정보통신공사,서울교통공사,서울,265780000,264679075,+3% ~ -3%,0,87.745,897,기,-0.41423
3,20151223847-00,내방역 술지원반 등 5개소 근무환경개선 통신공사,서울특별시,서울,47921600,48169175,+3% ~ -3%,0,87.745,874,기,0.51662
4,E01-15-08928,154kV 마곡변전소 무인보안시스템 시설공사,한국전력공사,서울,44044000,43324470,0% ~ -8%,0,87.745,685,,-1.63367
5,E01-15-08922,154kV 마곡변전소 전력통신설비 시설공사,한국전력공사,서울,168707000,161202781,0% ~ -8%,0,87.745,705,,-4.44808
6,20151223454-00,주요도로 교통관리시스템 통신공사(연간단가),서울시설공단,서울,114000000,113369350,+3% ~ -3%,0,87.745,836,기,-0.55321
7,20151223398-00,2016년 도심권 및 주요도로 도로전광표지 정비공사(연간단가),서울시설공단,서울,130000000,130067600,+3% ~ -3%,0,87.745,815,,0.05200
8,20151223395-00,"2016년 실시간 교통량 수집체계 점검,정비공사(연간단가)",서울시설공단,서울/경기,209000000,211489225,+3% ~ -3%,0,87.745,1543,,1.19101
9,20151223372-00,2016년 도시고속도로 교통관리시스템 통신공사(연간단가),서울시설공단,서울/경기,240000000,238888800,+3% ~ -3%,0,87.745,1619,,-0.46300
10,20151225887-00,구리시 교통정보시스템 유지관리 용역 (긴급공고),경기도,서울/경기,279000000,279891450,+3% ~ -3%,0,86.745,15,기,0.31951
11,20151225669-00,경인선 구일역 서측출입구 역무자동화설비 신설 공사,한국철도공사,서울,65164000,63931150,+0% ~ -4%,0,87.745,869,기,-1.89192
12,20151225650-00,경인선 구일역 서측출입구 신축관련 정보통신설비 신설타공사,한국철도공사,서울,75540000,73743725,+0% ~ -4%,0,87.745,901,기,-2.37792
13,20151225334-00,경원선 도봉산역 시각장애인용 음성유도 신설공사,한국철도공사,서울,25570000,25179650,+0% ~ -4%,0,87.745,754,기,-1.52660
14,20151223452-00,경원선 도봉산역 열차무선지국 신설공사,한국철도공사,서울,22959000,22436375,+0% ~ -4%,0,87.745,797,기,-2.27635
15,20151223442-00,경원선 도봉산역 역무자동화설비 신설 타공사,한국철도공사,서울,65571000,64398650,+0% ~ -4%,0,87.745,936,기,-1.78791
16,20151220520-00,"관악서울대학교치과병원 4층, 5층 내부재배치 공사(통신)",서울대학교치과병원,서울,64317000,64030525,+2% ~ -2%,0,87.745,998,,-0.44542
17,20151221770-00,행정관(60동) 로비 환경개선 전시공간조성 및 기타 통신공사 (긴급공고),서울대학교,서울/경기,225753000,223970175,+2% ~ -2%,0,87.745,381,협정,-0.78973
18,20151218075-00,종로3가 외 13역 노후 에스컬레이터 교체 통신공사,서울특별시,서울/경기,33443062,33287850,+3% ~ -3%,0,87.745,1483,기,-0.46411
19,20151214366-00,2016년 그린파킹 CCTV 유지보수 용역(연간단가),서울특별시,서울,26620000,26653725,+3% ~ -3%,0,87.745,22,,0.12669
20,E01-15-08751,OF케이블 접속함 온도센서 설치공사,한국전력공사,서울,66193549,64254516,0% ~ -8%,0,87.745,280,협정,-2.92934
21,20151221999-00,(긴급)판교 IoT혁신센터 신규 구축공사(정보통신공사),한국인터넷진흥원,서울/경기,18436000,18461900,+2% ~ -2%,0,87.745,1435,기,0.14048
22,20151221896-00,가락몰 전동차 전용램프 설치공사(정보통신),서울특별시농수산식품공사,서울,58179000,58713575,+3% ~ -3%,0,87.745,949,,0.91884
23,20151221715-00,2016년도 국회 구내전자교환 유지보수용역,국회,서울,44000000,44219375,+2% ~ -2%,0,88,13,기,0.49857
24,20151221663-00,2016년도 국회 CCTV시스템 유지보수용역,국회,서울,49370000,49077325,+2% ~ -2%,0,88,32,기,-0.59282
25,20151222168-00,영등포역파출소 청사 신축공사(통신) (긴급공고),경찰청,서울,10824000,10875450,+2% ~ -2%,0,87.745,521,기,0.47533
26,20151220833-00,당산파출소 청사 신축공사(통신) (긴급공고),경찰청,서울,21142000,21384075,+2% ~ -2%,0,87.745,794,,1.14499
27,20151218180-00,종로산업정보학교 리모델링 통신공사 (긴급공고),서울특별시교육청,서울,70929000,71187225,+3% ~ -3%,0,87.745,999,기,0.36406
28,20151124438-00,광복회관 재건축 건립사업 통신공사,서울지방조달청/국가보훈처,전국/서울,1125554000,1133292225,+2% ~ -2%,0,86.745,850,기/의무,0.68750
29,20151216443-00,서울교대부설초등학교 가설교사 통신공사 (긴급공고),서울교육대학교,서울,89705000,90303375,+2% ~ -2%,0,87.745,910,기/연기,0.66704
30,20151216332-00,용신지구대 신축공사 (통신) (긴급공고),경찰청,서울,29387000,29357300,+2% ~ -2%,0,87.745,796,기/정/연기/협정,-0.10107
31,20151216033-00,구리시 교통정보시스템 유지관리 용역 (긴급공고),경기도,서울/경기,279000000,281353400,+3% ~ -3%,0,86.745,17,정/연기,0.84351
32,20151213705-01,을지로입구역 석면함유제 제거 관련 전자공사 (정정공고),서울교통공사,서울,36830900,36657375,+3% ~ -3%,0,87.745,798,기/정,-0.47114
33,20151204705-00,네트워크 카메라(CCTV) 신규 설치 및 교체 공사,서울지방조달청/서울과학기술대학교,서울,314056000,316382425,+2% ~ -2%,0,87.745,862,기/협정,0.74076
34,20151126000-00,서초동교사 증축 및 리모델링 정보통신공사,서울지방조달청/문화체육관광부,서울,622088000,624957450,+2% ~ -2%,0,86.745,845,기/협정,0.46126
35,20151118466-00,"국립국악원 우면당 무대음향, 무대영상용 통신 공사",서울지방조달청/문화체육관광부,서울,263979000,263554675,+2% ~ -2%,0,87.745,868,기/협정,-0.16075
36,2015-19190,00경계시설 보강 통신공사(15-2080),국군재정관리단,서울,126101000,123866469,0.0% ~ -3.0%,0,87.745,705,,-1.77202
37,20151212402-00,인수파출소 신축공사(통신) 입찰 공고,경찰청,서울,17988000,18006300,+2% ~ -2%,0,87.745,730,협정,0.10173
38,20151210665-00,자양 공공힐링센터 신축 정보통신공사 (긴급공고),서울특별시,서울,138768000,139310975,+3% ~ -3%,0,87.745,967,,0.39128
39,20151214172-00,서울동대문경찰서 민원동 신축 통신공사 (긴급공고),경찰청,서울,227042000,228688675,+2% ~ -2%,0,87.745,903,기/협정,0.72527
40,20151213928-00,한국환경산업기술원 이전 청사 리모델링 및 증축공사(정보통신) (긴급공고),한국환경산업기술원,서울,578820000,572823475,+2% ~ -2%,0,86.745,787,,-1.03600
41,2015-19114,00부대 별관 통신공사(15-2095),국군재정관리단,서울,95919000,94528034,0.0% ~ -3.0%,0,87.745,696,,-1.45015
42,20151209390-00,2016년 서울시 서소문청사 통신시스템 유지관리 용역,서울특별시,서울,148671000,147518850,+3% ~ -3%,0,87.745,42,기/협정,-0.77497
43,20151209064-00,2016년 주전산 및 통신장비 유지보수,서울특별시,서울,108042000,107565850,+3% ~ -3%,0,87.745,35,기,-0.44071
44,20151211784-00,서울한산초 통신시설 개선공사,서울특별시교육청,서울,71687000,71678800,+3% ~ -3%,0,87.745,1016,,-0.01144
45,20151209863-01,2016년도 터널 및 지하차도 CCTV시스템 유지보수용역 (정정공고),서울특별시,서울,24651000,24276850,+3% ~ -3%,0,87.745,115,기/정/협정,-1.51779
46,20151208156-00,물품창고 경찰악대 신축 통신공사,서울지방조달청/경찰청,서울,145229000,145494100,+2% ~ -2%,0,87.745,907,기/협정,0.18253
47,20151111041-00,강남순환도시고속도로 교통관리시스템 구축공사,서울특별시,전국/서울,0,5792251000,+3% ~ -3%,0,1.00,12,실적/의무,85.495
48,20151209526-00,서울신봉초등학교 통신선로 교체공사 (긴급공고),서울특별시교육청,서울,63427000,64503725,+3% ~ -3%,0,87.745,1013,기,1.69758
49,20151126490-00,남부학습센터 신관 교육원 환경개선공사(통신),서울지방조달청/한국방송통신대학교,서울,461225000,459534650,+2% ~ -2%,0,86.745,857,기/협정,-0.36650
50,2015-18832,00부대 독신숙소 통신공사(15-1396),국군재정관리단,서울,117798000,116512793,0.0% ~ -3.0%,0,87.745,682,,-1.09103
51,20151209573-00,천호3동 제2공영주차장 신축 통신 공사 (긴급공고),서울특별시,서울,160050000,160717450,+3% ~ -3%,0,87.745,960,기,0.41702
52,20151207801-00,행운동 어린이집 신축공사(통신),서울특별시,서울,31680000,31540575,+3% ~ -3%,0,87.745,934,,-0.44011
53,20151210450-00,"2016년도 올림픽회관, 역도경기장 전자교환기 유지보수 용역 (긴급공고)",한국체육산업개발주식회사,서울,18580320,18624525,+2% ~ -2%,0,88,83,기/정/연기,0.23791
54,20151209402-00,서대문형무소 여옥사 부속창고 복원공사(정보통신)-장기계속계약,서울특별시,서울,26620000,26898350,+3% ~ -3%,0,87.745,824,기/연기,1.04564
55,20151209283-00,일산선 정발산역 등 12역 역무자동화설비 신설 기타공사,한국철도공사,서울/경기,22792000,22127475,+0% ~ -4%,0,87.745,1452,기/연기,-2.91561
56,20151209155-00,수유-미아역 화재로 인한 긴급복구 정보통신공사,서울교통공사,서울,84975880,84792400,+3% ~ -3%,0,87.745,990,연기,-0.21593
57,20151207859-00,보라매동 어린이집 신축공사(통신),서울특별시,서울,31058000,31083025,+3% ~ -3%,0,87.745,920,연기,0.08057
58,20151212388-00,강남고속터미널 스마트워크센터 통신 공사,한국지능정보사회진흥원,서울,13264706,13228625,+2% ~ -2%,0,87.745,602,기/연기,-0.27201
59,20151206862-00,행복한 일자리센터 신축 정보통신 공사,서울특별시,서울,11440000,11579750,+3% ~ -3%,0,87.745,600,,1.22159
60,20151202497-00,2016년 은평병원 정보통신장비 회선 및 유지보수 용역 계약,서울특별시,서울,97474000,97025675,+3% ~ -3%,0,87.745,40,,-0.45995
61,20151206107-00,(구)목5동주민센터 리모델링 정보통신공사 (긴급공고),서울특별시,서울,31665590,31506975,+3% ~ -3%,0,87.745,907,기,-0.50091
62,20151109425-00,마포중앙도서관 및 청소년교육센터 건립 통신공사,서울지방조달청/서울특별시,전국/서울,797899000,792457375,+3% ~ -3%,0,86.745,983,기/의무,-0.68200
63,20151200852-00,2016년 본청사 정보통신설비 연간단가 공사,서울특별시,서울,228033597,225340575,+3% ~ -3%,0,87.745,873,기,-1.18098
64,20151200773-00,2016년 서울시 교통정보용 CCTV카메라 유지보수사업 단가계약,서울특별시,서울,170000000,171240150,+3% ~ -3%,0,87.745,414,기,0.72950
65,20151203504-00,저화질 CCTV 성능개선 공사 (긴급공고),서울특별시,서울,104588000,105466075,+3% ~ -3%,0,87.745,139,기,0.83955
66,20151204196-00,동남권역 시민청 조성 통신공사 (긴급공고),서울특별시,서울,63411000,62798175,+3% ~ -3%,0,87.745,917,,-0.96644
67,20151204181-00,서울혁신파크 중소규모 건축물 개보수 사업 통신공사 (긴급공고),서울특별시,서울,227788000,224879750,+3% ~ -3%,0,87.745,923,,-1.27674
68,20151131436-00,TV중계시스템 유지관리 용역,서울특별시,서울,41883600,41562500,+3% ~ -3%,0,87.745,30,기,-0.76665
69,20151126050-00,2016년 운행제한 단속시스템 유지보수 용역,서울특별시,서울/인천/경기,80329000,80712625,+3% ~ -3%,0,87.745,64,기/협정,0.47756
70,E01-15-08371,성서지사 CCTV 화질개선 및 사각지대 보강공사,한국전력공사,서울,22331703,21313987,0% ~ -8%,0,87.745,566,,-4.55727
71,20151201273-00,서울창업허브조성 정보통신공사(장기계속) (긴급공고),서울특별시/서울특별시,전국/서울,1252042000,1246817900,+3% ~ -3%,0,86.745,914,기/의무,-0.41725
72,20151203710-00,성북구의회 LPR 설치 공사,서울시,서울,29400000,29503925,+3% ~ -3%,0,87.745,755,,0.35348
73,20151126473-01,애란원 신축 통신공사 (긴급공고) (정정공고),사회복지법인,서울/경기,105806000,104472625,+3% ~ -3%,0,87.745,49,기/정/현필,-1.26021
74,20151124684-00,언남중학교 체육관 및 급식시설증축 통신공사(장계속공사),서울특별시교육청,서울,45342000,45200825,+3% ~ -3%,0,87.745,951,기,-0.31136
75,2015-18249,00박물관 통신공사(15-1295),국군재정관리단,서울,62455000,61262584,0% ~ -3%,0,87.745,785,,-1.90925
76,20151128722-00,대일외고 방송시설공사 (긴급공고),서울특별시교육청,서울,77330000,77563975,+3% ~ -3%,0,87.745,946,기,0.30256
77,20151202487-00,시흥중학교 급식실 및 학생식당 증축 통신공사,서울특별시교육청,서울,56190000,55722400,+3% ~ -3%,0,87.745,963,기,-0.83218
78,20151202452-00,서울영동초등학교 실 개보수 및 타 통신공사,서울특별시교육청,서울,15246000,15522625,+3% ~ -3%,0,87.745,725,기,1.81441
79,20151200513-00,제설 및 도로유지관리 창고 건립공사(통신),서울특별시,서울,56360000,57154600,+3% ~ -3%,0,87.745,978,기,1.40986
80,20151131404-00,종로노인종합복지관 증축공사 (통신) - 장기계속계약 (긴급공고),서울특별시,서울,150816000,151150850,+3% ~ -3%,0,87.745,867,,0.22202
81,20151129987-00,서울안전통합센터 충무시설 영상.음향시스템 유지관리용역,서울특별시,서울,32644560,32568075,+3% ~ -3%,0,87.745,55,기,-0.23430
82,20151129757-00,동일여자고등학교 급식실 환경개선공사(통신) (긴급공고),서울특별시교육청,서울,9680000,9654800,+2% ~ -2%,0,87.745,439,,-0.26034
83,20151130974-00,강북청소년수련관 증축 통신공사 (긴급공고),서울특별시,서울,84997000,85681050,+3% ~ -3%,0,87.745,979,,0.80479
84,2015-18116,00지역 통신시설 보수공사,국방부근무지원단,서울,84450000,83393206,3.0% ~ -3.0%,0,87.745,707,,-1.25139
85,20151126735-00,2016년 불법주정차 단속시스템 유지보수 용역,서울특별시,서울/경기,153606000,152053875,+3% ~ -3%,0,87.745,75,,-1.01046
86,20151126562-00,제11차 방범용 CCTV회선 설치공사,서울특별시,서울,248521000,244762175,+3% ~ -3%,0,87.745,912,기,-1.51248
87,20151128778-00,거여3단지 세대 및 경비실 인터폰 교체공사,서울주택도시공사,서울,187000000,186878050,+3% ~ -3%,0,87.745,890,기,-0.06522
88,20151127002-00,경인선 온수역 외 9역 영상감시설비 보수공사,한국철도공사,서울/인천/경기,317300000,310702600,+0% ~ -4%,0,87.745,1907,기,-2.07924
89,20151128950-00,2015년 주민참여예산사업(안전한 산책로조성) CCTV 설치공사,서울특별시,서울,28630000,28752725,+3% ~ -3%,0,87.745,846,,0.42865
90,20151114559-00,"상계장암지구 5단지 및 신내3지구 3,4단지 도시형생활주택 정보통신공사",서울주택도시공사,전국/서울,1310176000,1307342800,+3% ~ -3%,0,86.745,882,기/의무,-0.21625
91,20151128155-00,감염PC 사이버 치료체계 운영환경 개선 용역,한국인터넷진흥원,서울,9983000,9881600,+2% ~ -2%,0,87.745,110,기,-1.01573
92,20151124163-00,불암학사 승강기 설치공사(통신),서울과학기술대학교,서울,44433000,44661550,+2% ~ -2%,0,87.745,940,,0.51436
93,20151109981-00,2016년 무선인터넷(WiFi)시스템 유지보수 용역,서울특별시,서울,208805000,209175175,+3% ~ -3%,0,87.745,46,기/협정,0.17728
94,20151126603-00,사회적경제지원센터 정보통신 공사 (긴급공고),서울특별시,서울,37611000,37513925,+3% ~ -3%,0,87.745,948,,-0.25811
95,20151129417-00,강남구청 직장어린이집 CCTV 교체공사,서울특별시,서울,7200000,7207950,+3% ~ -3%,0,87.745,152,,0.11041
96,20151125704-00,마포석유비축지 재생 및 공원조성 정보통신공사(장계속) (긴급공고),서울특별시/서울특별시,서울,499719000,500754700,+3% ~ -3%,0,86.745,899,기,0.20725
97,20151121268-00,건강보험심사평가원 본원(서울) 별관사무실 원상복구 공사(통신),서울지방조달청/건강보험심사평가원,서울,31369000,31630200,+2% ~ -2%,0,87.745,47,기/협정/여성,0.83266
98,20151120286-00,국립국악원 우면당 리모델링 공사(통신),서울지방조달청/문화체육관광부,서울,79054000,79645400,+2% ~ -2%,0,87.745,1012,기/협정,0.74809
99,20151114300-00,광명스피돔 공청설비 공사,서울올림픽기념국민체육진흥공단,서울/경기,204330000,202824650,+2% ~ -2%,0,87.745,1701,기,-0.73673
100,2015-17873,00지역 통신시설 보수공사,국방부근무지원단,서울,5997000,6074978,3.0% ~ -3.0%,0,87.745,229,,1.30028
101,20151126958-00,1호선 청량리역 방송장치 이설 정보통신공사,서울교통공사,서울,44814000,44623250,+3% ~ -3%,0,87.745,914,,-0.42565
102,20151126491-00,국회 어린이집 CCTV 교체공사,국회,서울,37590000,37807425,+2% ~ -2%,0,87.745,871,기,0.57841
103,20151125439-00,대림역 역무관리실 확장 관련 정보통신공사,서울교통공사,서울,6596000,6541925,+3% ~ -3%,0,87.745,412,,-0.81982
104,20151119846-00,2015년도 역구내 통신케이블 수선 및 타공사,서울교통공사,서울,94090000,93686150,+3% ~ -3%,0,87.745,909,기,-0.42922
105,20151122695-00,남산타운외 2개단지 전관 방송설비 교체공사,서울주택도시공사,서울,82228300,82137900,+3% ~ -3%,0,87.745,967,기,-0.10994
