,순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,가격점수,예가대비 투찰률(%)  A,기초대비 투찰률(%),순공사대비 사정률(%),추첨번호,투찰일시,비고
0,1,1058606899,이화티티씨(주)  [최종낙찰],이선정,분석,2185646530,65.0,93.562,93.413,-0.5577 (99.4423),2 13,2024/08/26 11:05:59,
1,2,1138196534,주식회사 하나이엔디,장명진,분석,2185697610,65.0,93.565,93.415,-0.5554 (99.4446),3 9,2024/09/03 11:02:15,
2,3,1198174315,주식회사 다솜이엔씨,송인주,분석,2185715199,65.0,93.566,93.416,-0.5545 (99.4455),14 1,2024/09/05 08:38:46,
3,4,2148661411,(주)엘리시스,이시정,분석,2185717400,65.0,93.566,93.416,-0.5544 (99.4456),14 1,2024/09/04 09:11:20,
4,5,2208104161,대신정보기술 주식회사,이광호,분석,2185833800,65.0,93.571,93.421,-0.5492 (99.4508),11 5,2024/09/05 17:06:57,
5,6,4108600083,(주)세움미디어,김영심,분석,2185884500,65.0,93.573,93.423,-0.5468 (99.4532),11 4,2024/08/22 12:57:30,
6,7,1238190158,주식회사두성미디어,정재득,분석,2185899100,65.0,93.574,93.424,-0.5462 (99.4538),8 3,2024/09/04 19:56:40,
7,8,1238195565,(주)지엔텔,이맹희,분석,2185925800,65.0,93.575,93.425,-0.5450 (99.455),14 15,2024/09/06 09:47:00,
8,9,1108185057,(주)제이에스넷시스템,이상철,분석,2185937100,65.0,93.576,93.425,-0.5445 (99.4555),6 10,2024/09/05 08:38:25,
9,10,2078127900,합동전자통신(주),하명용,분석,2185951700,65.0,93.576,93.426,-0.5438 (99.4562),8 1,2024/09/04 15:00:46,
10,11,1868701018,주식회사 소담정보통신,주옥,분석,2185967958,65.0,93.577,93.427,-0.5430 (99.457),14 7,2024/09/03 15:15:02,
11,12,1138609204,케이티텔레캅주식회사,장지호,분석,2185992134,65.0,93.578,93.428,-0.5419 (99.4581),10 13,2024/09/05 14:51:19,
12,13,1058628520,유테크(주),최윤영,분석,2186073456,65.0,93.582,93.431,-0.5382 (99.4618),3 9,2024/09/05 10:35:04,
13,14,1208173505,효성아이티엑스 주식회사,남경환,분석,2186102050,65.0,93.583,93.432,-0.5369 (99.4631),10 13,2024/08/26 09:47:59,
14,15,1180565240,성보전자통신,양행천,분석,2186156980,65.0,93.586,93.435,-0.5344 (99.4656),14 4,2024/09/06 04:27:06,
15,16,1188113673,동해정보통신 주식회사,이창원,분석,2186225112,65.0,93.589,93.438,-0.5313 (99.4687),4 3,2024/09/06 07:14:30,
16,17,1068674084,주식회사월드아이,신영구,분석,2186238300,65.0,93.589,93.438,-0.5307 (99.4693),6 4,2024/09/05 16:23:55,
17,18,2208798467,주식회사 태산이에이지,최홍석,분석,2186249289,65.0,93.59,93.439,-0.5302 (99.4698),10 6,2024/09/04 10:11:21,
18,19,2158602337,지엔네텔(주),고시영,분석,2186251948,65.0,93.59,93.439,-0.5301 (99.4699),5 15,2024/09/06 09:24:54,
19,20,2048170015,(주)하남통신,김종화,분석,2186265333,65.0,93.591,93.439,-0.5295 (99.4705),2 8,2024/09/05 16:22:26,
20,21,1148190678,주식회사 에드원,김춘걸,분석,2186271300,65.0,93.591,93.44,-0.5292 (99.4708),2 15,2024/08/22 10:11:18,
21,22,2118620935,주식회사 한양티이씨,조형국,분석,2186330611,65.0,93.594,93.442,-0.5265 (99.4735),13 10,2024/09/05 15:30:35,
22,23,2148639466,(주)동방데이타테크놀러지,원덕숙,분석,2186376770,65.0,93.596,93.444,-0.5244 (99.4756),13 14,2024/09/05 09:47:34,
23,24,1098195410,(주)신성글로벌네트워크,홍우석,분석,2186433912,65.0,93.598,93.447,-0.5218 (99.4782),10 3,2024/08/27 14:53:07,
24,25,1138672177,주식회사 재연이엔씨,이성일,분석,2186546000,65.0,93.603,93.451,-0.5168 (99.4832),7 12,2024/09/03 13:52:48,
25,26,1058179892,(주)지에스컴,김형호,분석,2186585568,65.0,93.605,93.453,-0.5149 (99.4851),9 4,2024/09/05 08:30:34,
26,27,2118716350,(주)비엔인더스트리,이재혁,분석,2186596560,65.0,93.606,93.454,-0.5144 (99.4856),13 6,2024/09/04 09:25:56,
27,28,1118126196,(주)광성통신,김성철,분석,2186626285,65.0,93.607,93.455,-0.5131 (99.4869),13 14,2024/09/03 15:54:11,
28,29,2148798652,주식회사 성암전력,박상호,분석,2186647111,65.0,93.608,93.456,-0.5121 (99.4879),1 8,2024/08/28 09:25:08,
29,30,4178600013,블랙썬 주식회사,이희부,분석,2186684470,65.0,93.61,93.457,-0.5105 (99.4895),1 8,2024/09/05 15:29:51,
30,31,1098167078,(주)에스씨네트,이계영,분석,2186816350,65.0,93.616,93.463,-0.5044 (99.4956),3 2,2024/09/04 10:09:51,
