,순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,가격점수,예가대비 투찰률(%)  A,기초대비 투찰률(%),순공사대비 사정률(%),추첨번호,투찰일시,비고
0,1,6108600214,(주)철탑  [최종낙찰],권용선,분석,1422865475,67.0,87.254,88.253,0.7318 (100.7318),4 1,2024/06/17 14:31:36,
1,2,4028126262,(유)오성통신,김승섭,분석,1422927634,67.04,87.258,88.257,0.7362 (100.7362),4 15,2024/06/17 10:25:24,
2,3,1058191993,링크정보통신주식회사,이재호,분석,1422955946,67.04,87.259,88.259,0.7382 (100.7382),8 9,2024/06/19 09:35:56,
3,4,1041890207,삼정정보통신,이순봉,분석,1422967953,67.04,87.26,88.259,0.7391 (100.7391),3 14,2024/06/17 17:44:26,
4,5,2498602494,금상첨화 주식회사,김영경,분석,1423054600,67.08,87.266,88.265,0.7452 (100.7452),7 5,2024/06/18 13:14:36,
5,6,1148678591,주식회사엠아이솔텍,최윤정,분석,1423197600,67.12,87.275,88.274,0.7553 (100.7553),13 5,2024/06/18 11:36:55,
6,7,6378801279,주식회사정암정보통신,조강수,분석,1423203850,67.12,87.275,88.274,0.7558 (100.7558),6 10,2024/06/17 19:30:40,
7,8,2108108684,주식회사 대금이앤아이,김종우,분석,1423336630,67.12,87.284,88.282,0.7652 (100.7652),10 15,2024/06/17 13:35:44,
8,9,7708100831,진아이티 주식회사,이진행,분석,1423339170,67.12,87.284,88.282,0.7653 (100.7653),6 9,2024/06/17 18:59:01,
9,10,2158706121,주식회사 알티넷,박명수,분석,1423358800,67.16,87.285,88.284,0.7667 (100.7667),14 7,2024/06/18 09:01:29,
10,11,2208691701,"주식회사 뉴젠스(NEWGENS Co., Ltd.)",임영필,분석,1423473638,67.16,87.292,88.291,0.7749 (100.7749),11 13,2024/06/18 11:17:31,
11,12,1078759050,프리스타일테크놀로지 유한회사,김용선,분석,1423484940,67.16,87.293,88.291,0.7757 (100.7757),10 12,2024/06/17 16:26:52,
12,13,2128197392,금수티아이주식회사,이형주,분석,1423643140,67.2,87.303,88.301,0.7868 (100.7868),1 15,2024/06/18 09:37:42,
13,14,4028158842,주식회사 마루이앤씨,정지연,분석,1423678000,67.24,87.305,88.303,0.7893 (100.7893),4 11,2024/06/19 08:22:22,
14,15,1328182574,다산정보통신(주),구성철,분석,1423843720,67.28,87.316,88.314,0.8011 (100.8011),8 5,2024/06/18 09:23:12,
15,16,5158108411,동일통신 주식회사,황보유,분석,1424181000,67.36,87.337,88.334,0.8249 (100.8249),11 10,2024/06/18 17:10:49,
16,17,2078136393,삼언전공 주식회사,공석복,분석,1424212290,67.36,87.339,88.336,0.8271 (100.8271),3 15,2024/06/18 09:56:21,
17,18,2368601897,주식회사 대방지,박장진,분석,1424213811,67.36,87.339,88.337,0.8273 (100.8273),6 5,2024/06/19 00:47:20,
18,19,2148669602,(주)우호텔레콤,이강록,분석,1424285840,67.36,87.344,88.341,0.8323 (100.8323),2 13,2024/06/18 13:57:56,
19,20,1068638093,(주)엘케이시스코,이기일,분석,1424339940,67.4,87.347,88.344,0.8362 (100.8362),11 7,2024/06/19 10:00:13,
20,21,1068178902,주식회사 티에스아이티,박용수,분석,1424347004,67.4,87.348,88.345,0.8367 (100.8367),10 4,2024/06/18 10:37:32,
21,22,2048140753,(주)청효이씨이,이범석,분석,1424429259,67.4,87.353,88.35,0.8425 (100.8425),4 12,2024/06/18 15:01:45,
22,23,2218120693,주식회사 일동에너텍,김종삼,분석,1424469470,67.44,87.355,88.352,0.8454 (100.8454),8 4,2024/06/18 13:45:07,
23,24,1058162163,주식회사대한종합산전,이섭,분석,1424548600,67.44,87.36,88.357,0.8510 (100.851),2 12,2024/06/17 17:19:08,
