,순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%),기초대비 투찰률(%),기초대비 사정률(%),추첨번호,투찰일시,비고
0,1,1068612230,(주)사강통신,정일영,분석,64853450,87.745,87.978,0.26667 (100.26667),,2024/08/05 09:52:14,낙찰
1,2,4878800409,주식회사 백산전기,이강호,분석,64853670,87.745,87.979,0.26701 (100.26701),,2024/08/06 10:40:06,2순위
2,3,2128140491,(주)벧엘정보통신,이효진,분석,64855085,87.747,87.981,0.26920 (100.2692),,2024/08/07 05:29:56,3순위
3,4,2048162437,다남전기(주),이병근,분석,64855160,87.747,87.981,0.26931 (100.26931),,2024/08/06 17:41:30,4순위
4,5,2088702355,주식회사 수운,김치래,분석,64855600,87.747,87.981,0.26999 (100.26999),,2024/08/07 09:46:20,5순위
5,6,2098133432,(주)가람씨앤씨,임승덕,분석,64855602,87.747,87.981,0.26999 (100.26999),,2024/08/02 10:58:09,6순위
6,7,1108185552,한양이이씨 주식회사,문주환,분석,64857349,87.75,87.984,0.27270 (100.2727),,2024/08/05 17:07:57,7순위
7,8,6058603558,주식회사 와이에스제이,나은영,분석,64857800,87.75,87.984,0.27339 (100.27339),,2024/08/06 15:11:31,8순위
8,9,1188117816,(주)영원정보통신,전춘식,분석,64859483,87.753,87.987,0.27600 (100.276),,2024/08/05 15:08:08,9순위
9,10,1198175027,(주)케이웍스,김영주,분석,64861100,87.755,87.989,0.27850 (100.2785),,2024/08/05 08:53:10,10순위
10,11,2168701696,주식회사 투비콤,유수정,분석,64861965,87.756,87.99,0.27983 (100.27983),,2024/08/02 17:28:53,11순위
11,12,8568800361,주식회사 우선기술,정우영,분석,64862555,87.757,87.991,0.28074 (100.28074),,2024/08/05 23:45:51,12순위
12,13,2188101953,주식회사 비츠로시스,이기재,분석,64863690,87.758,87.992,0.28250 (100.2825),,2024/08/02 09:58:22,13순위
13,14,2214405703,정현네트웍스,위정현,분석,64868798,87.765,87.999,0.29040 (100.2904),,2024/08/02 06:32:45,14순위
14,15,6838602199,주식회사 더시스,이남복,분석,64868800,87.765,87.999,0.29040 (100.2904),,2024/08/02 17:05:14,15순위
15,16,1298627304,주식회사 진네트웍스,이호진,분석,64870026,87.767,88.001,0.29230 (100.2923),,2024/08/05 07:16:16,16순위
16,17,4470403029,힐탑아이씨티,정강준,분석,64871570,87.769,88.003,0.29468 (100.29468),,2024/08/07 08:22:59,17순위
17,18,1138175669,(주)용상전기통신,권혁기,분석,64871643,87.769,88.003,0.29480 (100.2948),,2024/08/06 09:13:51,18순위
18,19,1148680379,주식회사 다경시스템,김대원,분석,64872355,87.77,88.004,0.29590 (100.2959),,2024/08/05 15:13:53,19순위
19,20,6188134896,주식회사 동신정보통신,임춘섭,분석,64872680,87.771,88.005,0.29640 (100.2964),,2024/08/06 09:11:21,20순위
20,21,1068611721,우리보안 주식회사,이명재,분석,64873390,87.771,88.006,0.29750 (100.2975),,2024/08/05 15:01:48,21순위
21,22,2058139910,우현전기(주),채광식,분석,64874230,87.773,88.007,0.29879 (100.29879),,2024/08/05 23:05:05,22순위
22,23,1198125041,옥성정보통신(주),황석,분석,64877529,87.777,88.011,0.30390 (100.3039),,2024/08/07 09:28:18,23순위
23,24,8178800099,(주)대성오토텍,신미금,분석,64880050,87.78,88.015,0.30779 (100.30779),,2024/08/05 08:26:37,24순위
24,25,1068684748,주식회사고도기술,고동현,분석,64881673,87.783,88.017,0.31030 (100.3103),,2024/08/05 22:00:58,25순위
25,26,1088124659,(주)비젼텔레콤,김진수,분석,64881798,87.783,88.017,0.31050 (100.3105),,2024/08/05 13:53:58,26순위
26,27,1068602542,주식회사 유셀네트웍스,김구동,분석,64882700,87.784,88.018,0.31189 (100.31189),,2024/08/06 09:41:07,27순위
27,28,1138607924,두성건설주식회사,안성병,분석,64884390,87.786,88.02,0.31450 (100.3145),,2024/08/05 09:44:11,28순위
28,29,1198637085,(주) 하이네트워크,이준수,분석,64885600,87.788,88.022,0.31637 (100.31637),,2024/08/06 09:28:39,29순위
29,30,1068157019,(주)세호영상,박석신,분석,64886710,87.79,88.024,0.31809 (100.31809),,2024/08/06 10:48:25,30순위
30,31,2208798467,주식회사 태산이에이지,최홍석,분석,64886909,87.79,88.024,0.31840 (100.3184),,2024/08/05 15:41:50,31순위
