id,공고번호,공고제목,발주처(수요기관),지역제한,기초금액,예정가격,예가범위,A값,투찰률(%),참여업체수,공고구분표시,정답사정률(%)
1,20241232002-00,2025년 주차관제시스템 유지관리 용역,의정부도시공사,서울/경기,98007000,99098375,+3% ~ -3%,0,88,15,기/수의,1.11356
2,2404135-00,LHQ+ 서울2권 건설·매입임대주택 유지보수공사(정보통신),한국토지주택공사,전국/서울,1271225000,1270495000,+2% ~ -2%,57650945,86.745,1111,기/A값/순/의무,-0.05743
3,2404134-00,LHQ+ 서울1권 건설·매입임대주택 유지보수공사(정보통신),한국토지주택공사,전국/서울,1250109000,1245899000,+2% ~ -2%,57723336,86.745,1118,기/A값/순/의무,-0.33678
4,20241231791-00,2025년 성남시 버스정보시스템(BIS) 센터장비 유지관리 견적제출 안내 공고,성남도시개발공사,서울/경기,64480000,63855575,+3% ~ -3%,0,88,76,기/수의,-0.96841
5,20241235152-01,진건공공하수처리시설 중 초기우수처리시설 PLC 예비품 구매 (정정공고),(주)에코비트워터,서울/경기,88517000,88393350,+3% ~ -3%,0,88,22,물품/기/정/수의,-0.13970
6,20241222974-00,2025년 구리문화재단 정보보호시스템 통합 유지보수,재단법인,서울/경기,54381000,54110625,+3% ~ -3%,0,87.745,37,,-0.49719
7,20241227954-00,정보 자원 통합 및 재해복구시스템 유지관리 견적제출 안내 공고,성남도시개발공사,서울/경기,48520800,48209825,+3% ~ -3%,0,88,29,기/수의,-0.64092
8,20241227823-00,"계약,회계통합프로그램(ERP) 유지관리 견적제출 안내 공고",성남도시개발공사,서울/경기,57187200,57091875,+3% ~ -3%,0,88,20,기/수의,-0.16669
9,20241229640-00,2025년 서울시설공단 행정통신망 유지보수 용역,서울시설공단,서울,39600000,39643600,+3% ~ -3%,0,88,14,수의,0.11010
10,20241228361-00,9호선운영부문 화장실 재실 감지 시스템 설치 공사,서울교통공사,서울,148377020,148830700,+3% ~ -3%,10569274,87.745,1175,기/A값/수의,0.30576
11,20241226775-00,창동중학교 방송선로 개선 공사,서울특별시북부교육청,서울,123698000,124128500,+3% ~ -3%,2786927,87.745,1192,기/A값/수의,0.34802
12,20241223391-00,2025년 교통관리시스템 통신공사(연간단가),서울시설공단,서울/경기,600000000,599781000,+3% ~ -3%,24791857,87.745,2595,기/A값/순,-0.03650
13,20241222849-00,을지로입구역 등 9개역 고객안전실 등 근무환경개선 정보통신공사,서울교통공사,서울,285509800,286685425,+3% ~ -3%,19874556,87.745,1083,기/A값/순,0.41176
14,20241221533-00,2025년 터널 및 지하차도 CCTV 유지관리 용역,서울특별시,서울,73000000,73666000,+3% ~ -3%,0,88,102,수의,0.91232
15,20241220634-00,2025년 터널 및 지하차도 재방송 유지관리 용역,서울특별시,서울,67100000,67700275,+3% ~ -3%,0,88,146,수의,0.89459
16,20241220684-01,2025년 자가통신망 유지보수 용역 (정정공고),경기도,서울/경기,136290000,135762275,+3% ~ -3%,0,87.745,13,기/정,-0.38721
17,20241225944-00,광진구 보건소 신청사 공간구성 통신공사,서울특별시,서울,62974610,62051925,+3% ~ -3%,3720210,87.745,1094,A값/수의,-1.46517
18,20241222691-00,2025년 터널 및 지하차도 CCTV시스템 유지관리용역,서울특별시,서울,74959390,75198375,+3% ~ -3%,0,88,63,기/수의,0.31881
19,20241217711-00,2025년도 영등포구립도서관 전산장비 및 정보화시스템 유지보수 용역,재단법인,서울/경기,150268000,150164000,+3% ~ -3%,0,87.745,15,기,-0.06921
20,60446,25년 전산장비 유지보수,제7016부대,서울,57580000,57152913,+2% ~ -2%,0,87.745,33,기,-0.74173
21,2024-27030,1철도대 본부 생활관 및 사무실 리모델링 통신공사,국군수송사령부,서울,47179411,46819839,+2% ~ -2%,0,87.745,883,기/수의,-0.76214
22,20241215696-00,2025년 강동구립도서관 정보화 시스템 통합 유지보수 용역(긴급),재단법인강동문화재단,서울/경기,168378600,168381600,+3% ~ -3%,0,87.745,75,,0.00178
23,20241219173-00,디지털 게시판,한국과학기술원,서울/경기,52500000,52201325,+2% ~ -2%,0,88,18,물품/기/수의,-0.56891
