필드명,대분류,필드명(국문),설명,샘플값
cnsttyAccotShreRateList,공사,공종별지분율목록,"공고의 공종별지분율 목록
 [부업종코드명^부업종평가비율(%)],[부업종코드명^부업종평가비율(%)]",
cntrctCnclsMthdNm,공통,계약체결방법명,"계약체결의 방법을 구분하는 명
 *일반경쟁계약은 계약 대상 물품의 규격 및 시방서와 계약조건 등을 널리 공고하여 일정한 자격을 가진 불특정 다수인의 입찰희망자를 모두 경쟁 입찰하는 계약방법
 *제한경쟁계약은 일반·지명경쟁계약제도의 단점을 보완하기 위해 실적제한, 기술보유제한, 특정물품제한, 지역제한 등을 두는 계약방법
 *지명경쟁계약은 계약상대자의 신용과 실적 등에 있어 적당하다고 인정하는 특정 다수의 경쟁 참가자를 지명하여 계약 상대방을 결정하는 계약방법
 *수의계약은 계약상대자를 결정함에 있어 경쟁방법에 의하지 않고 특정인을 선정하여 계약하는 계약방법",제한경쟁
collected_at,공통,,,2025-03-11 00:13:54.700000
contrctrcnstrtnGovsplyMtrlAmt,공사,도급자설치관급자재금액,"공고의 도급자설치관급자재금액(원화,원)",0
crdtrNm,공통,채권자명,"입찰보증금 항목의 ""보증채권자명""으로 전자입찰보증 접수시 사용",양산시장
dcmtgOprtnDt,"공사,용역",설명회실시일시,해당 공고에 대한 현장/입찰/과업 설명회를 실시하는 일시”YYYY-MM-DD HH:MM:SS”,
dcmtgOprtnPlce,"공사,용역",설명회실시장소,해당 공고에 대한 설명회를 실시하는 경우 현장/입찰/과업 설명회를 실시하는 장소,
dlvrDaynum,"물품,외자",납품일수,공고의 납품일수,
dlvrTmlmtDt,"물품,외자",납품기한일시,공고의 납품기한일시 “YYYY-MM-DD HH:MM:SS”,2010-06-30 00:00:00
dlvryCndtnNm,"물품,외자",인도조건명,인도 받을 장소,
dminsttCd,공통,수요기관코드,실제 수요기관의 코드로 행자부코드(행정자치부에서 부여한 기관코드)가 있는 경우 행자부코드가 행자부코드가 없는 경우 조달청에서 부여한 수요기관 코드가 표기됨,5380000
dminsttNm,공통,수요기관명,중앙조달인 경우 조달사업에 관한 법률 제2조(정의)에 따라 수요물자의 구매 공급 또는 시설공사 계약의 체결을 조달청장에게 요청할 수 있도록 조달청장이 인정하여 등록한 기관 또는 자체전자조달시스템을 이용하는 기관인 경우 계약을 의뢰한 기관의 명으로 공고기관과 수요기관이 동일할 수 있음,경상남도 양산시
dminsttOfclEmailAdrs,공통,수요기관담당자이메일주소,수요기관 담당자의 이메일주소,
drwtPrdprcNum,공통,추첨예가건수,공고의 추첨예가건수,4
dsgntCmptYn,공통,지명경쟁여부,공고의 지명경쟁여부(Y/N),N
dtilPrdctClsfcNo,"물품,외자",세부품명번호,물품분류번호(8자리) + 물품식별번호(앞2자리) [물품목록정보의 관리 및 이용에 관한 규정 제12조],1510150200
dtilPrdctClsfcNoNm,"물품,외자",세부품명,세부품명번호 10자리에 대한 한글명,
dtlsBidYn,"공사,용역",내역입찰여부,내역입찰인지는 나타내는 항목으로 내역입찰일 경우 투찰시 내역서를 첨부해야함(Y/N),N
exctvNm,공통,집행관명,공고의 집행관명,한창훈
govcnstrtnGovsplyMtrlAmt,공사,관급자설치관급자재금액,"공고의 관급자설치관급자재금액(원화,원)",0
govsplyAmt,공사,관급금액,"공고의 관급금액(원화,원)",0
incntvRgnNm1,공사,가산지역명1,적격심사를 실시할 경우 해당 지역 업체의 경우 가산점을 얻을 수 있는 지역명,
incntvRgnNm2,공사,가산지역명2,적격심사를 실시할 경우 해당 지역 업체의 경우 가산점을 얻을 수 있는 지역명,
incntvRgnNm3,공사,가산지역명3,적격심사를 실시할 경우 해당 지역 업체의 경우 가산점을 얻을 수 있는 지역명,
incntvRgnNm4,공사,가산지역명4,적격심사를 실시할 경우 해당 지역 업체의 경우 가산점을 얻을 수 있는 지역명,
indstrytyEvlRt,공사,업종평가비율,적격심사에서 사용하는 업종평가비율(%),
indstrytyLmtYn,공통,업종제한여부,"해당 공고 입찰 시 업종(면허)제한을 두는지의 여부
 예시)Y",
indstrytyMfrcFldEvlYn,공사,주력분야평가여부,업종 주력분야 평가 대상 여부,N
indutyVAT,"공사,물품,용역",주공종부가가치세,주공종부가가치세,
infoBizYn,"물품,용역",정보화사업여부,"정보화사업여부
Y/N",
intrbidYn,공통,국제입찰여부,"국제입찰대상인지의 여부를 나타내며 국제입찰 대상은 내외국인 또는 외국인을 대상으로 하여 물품, 공사 및 용역을 조달하기 위하여 행하는 입찰을 말하며 수의계약을 포함한다. 국가계약법 제4조에 의해 추정가격이 고시금액(국제입찰 적용 대상 기준금액으로 기획재정부장관 및 행정자치부장관이 매 2년마다 고시한 금액을 말하며 WTO 또는 양자간(FTA) 정부조달협정에 따르면 국제입찰 대상 기준 금액이 SDR(Special Drawing Rights:특별인출권) 통화단위로 되어 있어 주무부 장관이 이를 2년마다 원화로 환산하여 고시) 이상일 경우 국제입찰대상이 됨(Y/N)",N
is_synced,공사,,,True
jntcontrctDutyRgnNm1,"공사,용역",공동도급의무지역명1,공고의 공동도급의무지역명,
jntcontrctDutyRgnNm2,"공사,용역",공동도급의무지역명2,공고의 공동도급의무지역명,
jntcontrctDutyRgnNm3,"공사,용역",공동도급의무지역명3,공고의 공동도급의무지역명,
mainCnsttyCnstwkPrearngAmt,공사,주공종공사예정금액,"적격심사시 주공종추정금액(원화,원)",
mainCnsttyNm,공사,주공종명,공고의 주공종명,
mainCnsttyPresmptPrce,공사,주공종추정가격,"주공종에 대한 추정가격(원화,원)",
mnfctYn,"물품,외자,용역",제조여부,"물품분류로 투찰제한시 제조물품으로 제한할 지 여부. ""Y""일 경우 투찰시 업체의 경쟁입찰참가자격등록증에 공고서상 물품분류가 제조물품으로 등록되어 있어야 투찰가능(Y/N)",
mtltyAdvcPsblYn,공사,상호시장진출허용여부,"건설업역(종합공사,전문공사)에 상호 진출 가능한지에 대한 여부",N
mtltyAdvcPsblYnCnstwkNm,공사,건설산업법적용대상공사명,건설산업법 적용대상 공사명,
ntceDscrptYn,"공사,용역",공고설명여부,공고의 공고설명여부(Y/N),
ntceInsttCd,공통,공고기관코드,공고를 하는 기관의 코드로 행자부코드(행정자치부에서 부여한 기관코드)가 있는 경우 행자부코드가 행자부코드가 없는 경우 조달청에서 부여한 공고기관 코드가 표기됨,5380000
ntceInsttNm,공통,공고기관명,수요기관의 의뢰를 받아 공고하는 기관의 명,경상남도 양산시
ntceInsttOfclEmailAdrs,공통,공고기관담당자이메일주소,공고기관의 공고를 담당하는 담당자의 이메일주소,h790221@korea.kr
ntceInsttOfclNm,공통,공고기관담당자명,공고기관의 공고를 담당하는 담당자의 명,한창훈
ntceInsttOfclTelNo,공통,공고기관담당자전화번호,공고기관의 공고를 담당하는 담당자의 전화번호,055-392-2282
ntceKindNm,공통,공고종류명,"공고의 공고상태명으로 일반, 변경, 취소, 재입찰, 연기, 긴급, 갱신, 긴급갱신 구분",등록공고
ntceSpecDocUrl1,공통,공고규격서URL1,공고의 공고규격서URL,https://www.g2b.go.kr/pn/pnp/pnpe/UntyAtchFile/dow
ntceSpecDocUrl10,공통,공고규격서URL10,공고의 공고규격서URL,
ntceSpecDocUrl2,공통,공고규격서URL2,공고의 공고규격서URL,
ntceSpecDocUrl3,공통,공고규격서URL3,공고의 공고규격서URL,
ntceSpecDocUrl4,공통,공고규격서URL4,공고의 공고규격서URL,
ntceSpecDocUrl5,공통,공고규격서URL5,공고의 공고규격서URL,
ntceSpecDocUrl6,공통,공고규격서URL6,공고의 공고규격서URL,
ntceSpecDocUrl7,공통,공고규격서URL7,공고의 공고규격서URL,
ntceSpecDocUrl8,공통,공고규격서URL8,공고의 공고규격서URL,
ntceSpecDocUrl9,공통,공고규격서URL9,공고의 공고규격서URL,
ntceSpecFileNm1,공통,공고규격파일명1,공고의 공고규격파일명,"20100100018-00_도내,구조물창호(양산천구름다리엘리베이터 외장재설치공사).hwp"
ntceSpecFileNm10,공통,공고규격파일명10,공고의 공고규격파일명,
ntceSpecFileNm2,공통,공고규격파일명2,공고의 공고규격파일명,
ntceSpecFileNm3,공통,공고규격파일명3,공고의 공고규격파일명,
ntceSpecFileNm4,공통,공고규격파일명4,공고의 공고규격파일명,
ntceSpecFileNm5,공통,공고규격파일명5,공고의 공고규격파일명,
ntceSpecFileNm6,공통,공고규격파일명6,공고의 공고규격파일명,
ntceSpecFileNm7,공통,공고규격파일명7,공고의 공고규격파일명,
ntceSpecFileNm8,공통,공고규격파일명8,공고의 공고규격파일명,
ntceSpecFileNm9,공통,공고규격파일명9,공고의 공고규격파일명,
opengDt,공통,개찰일시,"집행관이 개찰을 수행할 수 있는 시작일시이며
 개찰일시 이후에 개찰이 가능함
 실제 개찰을 수행한 시간을 의미하지 않음 “YYYY-MM-DD HH:MM:SS”",2010-01-11 11:00:00
opengPlce,공통,개찰장소,집행관이 개찰을 하는 장소,국가종합전자조달시스템(나라장터)
orderPlanUntyNo,공통,발주계획통합번호,업무구분코드(1)-업무유형코드(3)-발주년도(4)-기관코드(7)-발주계획순번(6) 로 구성됨,
ppswGnrlSrvceYn,용역,조달청일반용역여부,공고의 조달청일반용역여부(Y/N),N
pqApplDocRcptDt,"공사,용역",PQ신청서접수일시,PQ심사신청서 접수 마감일시 “YYYY-MM-DD HH:MM:SS”,
pqApplDocRcptMthdNm,"공사,용역",PQ신청서접수방법명,PQ대상공고에서 PQ심사신청서를 어떻게 받을지에 대한 코드명,
pqEvalYn,"공사,용역",PQ심사여부,공고의 PQ심사여부(Y/N),N
prdctClsfcLmtYn,"물품,외자,용역",물품분류제한여부,"물품공고의 경우 물품분류번호로 제한할 경우 Y, 물품분류번호 제한없으면 N",N
prdctQty,"물품,외자",물품수량,공고의 물품수량,78000
prdctSno,외자,물품순번,공고의 물품목록순번,1
prdctSpecNm,"물품,외자",물품규격명,공고의 물품규격명,보일러등유
prdctUnit,"물품,외자",물품단위,공고의 물품단위,ℓ
prdctUprc,"물품,외자",물품단가,공고의 물품단가,
prearngPrceDcsnMthdNm,공통,예정가격결정방법명,예정가격의 결정을 위해 복수예정가격방식으로 산정하는지 단일 예정가격으로 산정하는지를 구분하는 명,복수예가
presmptPrce,공통,추정가격,"물품/공사/용역 등의 조달 계약을 체결함에 있어 국제입찰 대상여부를 판단하는 기준 등으로 삼기 위하여 예정가격이 결정되기 전에 예산에 계상된 금액 등을 기준으로 하여 부가가치세 및 조달 수수료를 제외한 금액(원화,원)",180929092
purchsObjPrdctList,"물품,외자,용역",구매대상물품목록,"공고의 구매대상물품목록으로 [입찰분류번호^세부품명번호(세부물품분류번호)^세부품명(세부물품분류명)],[입찰분류번호^세부품명번호(세부물품분류번호)^세부품명(세부물품분류명)]",[1^1510150200^등유]
rbidOpengDt,공통,재입찰개찰일시,"공고종류명이 ‘재입찰’ 일 경우 재입찰공고의 개찰을 수행할 수 있는 시작일시
 “YYYY-MM-DD HH:MM:SS”",
rbidPermsnYn,공통,재입찰허용여부,입찰이 유찰되는 경우 재공고 없이 다시 입찰(Y/N),Y
reNtceYn,공통,재공고여부,본 입찰공고의 재공고 여부(Y/N),N
refNo,공통,참조번호,조달청 입찰공고의 경우 참조공고번호는 자체 전자조달시스템에서 관리하는 공고번호를 의미하며 자체전자조달시스템의 경우 참조공고번호는 나라장터(G2B) 입찰공고번호를 의미함,양산시공고 제2009-1767호
rgnDutyJntcontrctRt,"공사,용역",지역의무공동도급비율,지역의무공동동급시 3개지역의 공동도급합산 하한 비율(%),
rgnDutyJntcontrctYn,공사,지역의무공동도급여부,지역업체 참여가 일정 지분율 이상일 경우에만 입창이 가능한 공고 여부 ( Y:해당 N:공고서에의함),N
rgnLmtBidLocplcJdgmBssCd,물품,,,
rgnLmtBidLocplcJdgmBssNm,물품,,,
rgstDt,공통,등록일시,공고의 등록일시 “YYYY-MM-DD HH:MM:SS”,2010-01-03 15:07:54
rgstTyNm,공통,등록유형명,"입찰공고가 ""조달청 또는 나라장터 자체 공고건"",""'나라장터 기타 공고건""",조달청 또는 나라장터 자체 공고건
rsrvtnPrceReMkngMthdNm,공통,예비가격재작성방법명,공고의 예비가격재작성방법명,재입찰시 예비가격을 다시 생성하여 예정가격이 산정됩니다.
sptDscrptDocUrl1,공사,현장설명서URL1,공고의 현장설명서URL,
sptDscrptDocUrl2,공사,현장설명서URL2,공고의 현장설명서URL,
sptDscrptDocUrl3,공사,현장설명서URL3,공고의 현장설명서URL,
sptDscrptDocUrl4,공사,현장설명서URL4,공고의 현장설명서URL,
sptDscrptDocUrl5,공사,현장설명서URL5,공고의 현장설명서URL,
srvceDivNm,용역,용역구분명,공고의 용역구분명으로 일반용역/기술용역으로 구분,기술용역
stdNtceDocUrl,공통,표준공고서URL,공고의 표준공고문URL,https://www.g2b.go.kr/pn/pnp/pnpe/UntyAtchFile/dow
subsiCnsttyIndstrytyEvlRt1,공사,부공종업종평가비율1,공고의 부공종업종평가비율(%),
subsiCnsttyIndstrytyEvlRt2,공사,부공종업종평가비율2,공고의 부공종업종평가비율(%),
subsiCnsttyIndstrytyEvlRt3,공사,부공종업종평가비율3,공고의 부공종업종평가비율(%),
subsiCnsttyIndstrytyEvlRt4,공사,부공종업종평가비율4,공고의 부공종업종평가비율(%),
subsiCnsttyIndstrytyEvlRt5,공사,부공종업종평가비율5,공고의 부공종업종평가비율(%),
subsiCnsttyIndstrytyEvlRt6,공사,부공종업종평가비율6,공고의 부공종업종평가비율(%),
subsiCnsttyIndstrytyEvlRt7,공사,부공종업종평가비율7,공고의 부공종업종평가비율(%),
subsiCnsttyIndstrytyEvlRt8,공사,부공종업종평가비율8,공고의 부공종업종평가비율(%),
subsiCnsttyIndstrytyEvlRt9,공사,부공종업종평가비율9,공고의 부공종업종평가비율(%),
subsiCnsttyNm1,공사,부대공종명1,공고의 부대공종명,
subsiCnsttyNm2,공사,부대공종명2,공고의 부대공종명,
subsiCnsttyNm3,공사,부대공종명3,공고의 부대공종명,
subsiCnsttyNm4,공사,부대공종명4,공고의 부대공종명,
subsiCnsttyNm5,공사,부대공종명5,공고의 부대공종명,
subsiCnsttyNm6,공사,부대공종명6,공고의 부대공종명,
subsiCnsttyNm7,공사,부대공종명7,공고의 부대공종명,
subsiCnsttyNm8,공사,부대공종명8,공고의 부대공종명,
subsiCnsttyNm9,공사,부대공종명9,공고의 부대공종명,
sucsfbidLwltRate,공통,낙찰하한율,개찰시 사용하는 낙찰하한율(%),87.745
sucsfbidMthdCd,공통,낙찰방법코드,낙찰방법명에 대한 코드 (한글 1자리 + 숫자 6자리),낙030001
sucsfbidMthdNm,공통,낙찰방법명,낙찰자를 결정하는 방법,공고서참조
techAbltEvlRt,"물품,외자",,,
totPrdprcNum,공통,총예가건수,공고의 총예가건수,15
tpEvalApplClseDt,용역,TP심사신청마감일시,공고의 TP심사신청마감일시 “YYYY-MM-DD HH:MM:SS”,
tpEvalApplMthdNm,용역,TP심사신청방법명,공고의 TP심사신청방법명,
tpEvalYn,용역,TP심사여부,공고의 물품규격명(Y/N),
untyNtceNo,공통,통합공고번호,입찰공고를 구분하는 번호로 입찰공고번호이며 형식은 년도(4)+월(2)+순번(5),20100100008

# ========================================
# 기초금액조회 컬렉션 필드 (공사/물품/용역)
# ========================================
bssamt,"공사,물품,용역 (기초금액)",기초금액,기초금액(원),
bssamtOpenDt,"공사,물품,용역 (기초금액)",기초금액공개일시,기초금액 공개일시,
rsrvtnPrceRngBgnRate,"공사,물품,용역 (기초금액)",예비가격범위시작률,예비가격 범위 시작률(%),
rsrvtnPrceRngEndRate,"공사,물품,용역 (기초금액)",예비가격범위종료율,예비가격 범위 종료율(%),
evlBssAmt,"공사,물품,용역 (기초금액)",평가기준금액,평가기준금액(원),
dfcltydgrCfcnt,"공사,물품,용역 (기초금액)",난이도계수,난이도계수,
etcGnrlexpnsBssRate,"공사,물품,용역 (기초금액)",기타경비기준율,기타경비 기준율(%),
gnrlMngcstBssRate,"공사,물품,용역 (기초금액)",일반관리비기준율,일반관리비 기준율(%),
prftBssRate,"공사,물품,용역 (기초금액)",이윤기준율,이윤 기준율(%),
lbrcstBssRate,"공사,물품,용역 (기초금액)",노무비기준율,노무비 기준율(%),
rtrfundNon,"공사,물품,용역 (기초금액)",퇴직공제부금비,퇴직공제부금비(원),
envCnsrvcst,"공사,물품,용역 (기초금액)",환경보전비,환경보전비(원),
scontrctPayprcePayGrntyFee,"공사,물품,용역 (기초금액)",하도급대금지급보증수수료,하도급대금지급보증수수료(원),
mrfnHealthInsrprm,"공사,물품,용역 (기초금액)",국민건강보험료,국민건강보험료(원),
npnInsrprm,"공사,물품,용역 (기초금액)",국민연금보험료,국민연금보험료(원),
usefulAmt,"공사,물품,용역 (기초금액)",가용금액,가용금액(원),
inptDt,"공사,물품,용역 (기초금액)",입력일시,입력일시,
sftyMngcst,"공사,용역 (기초금액)",산업안전보건관리비,산업안전보건관리비(원),
sftyChckMngcst,"공사,용역 (기초금액)",안전관리비,안전관리비(원),
odsnLngtrmrcprInsrprm,"공사,용역 (기초금액)",노인장기요양보험료,노인장기요양보험료(원),
bidPrceCalclAYn,공사 (기초금액),입찰가격산식A여부,입찰가격산식A 적용여부(Y/N),
bssAmtPurcnstcst,공사 (기초금액),기초금액순공사비,기초금액순공사비(원),
qltyMngcst,공사 (기초금액),품질관리비,품질관리비(원),
qltyMngcstAObjYn,공사 (기초금액),품질관리비A적용대상여부,품질관리비A 적용대상여부(Y/N),
industSftyHelthMngcst,물품 (기초금액),산업안전보건관리비,산업안전보건관리비(원) - 물품 전용,
rmrk1,"공사,물품,용역 (기초금액)",비고1,기초금액 비고1,
rmrk2,"공사,물품,용역 (기초금액)",비고2,기초금액 비고2,
smkpamt,공사 (기초금액),표준시장단가금액,표준시장단가금액(원),
smkpamtyn,공사 (기초금액),표준시장단가금액A적용대상여부,표준시장단가금액A 적용대상여부(Y/N),

# ========================================
# 낙찰정보 컬렉션 필드 (공사/물품/외자/용역)
# ========================================
opengDate,공통 (낙찰정보),개찰일자,개찰일자,
opengTm,공통 (낙찰정보),개찰시간,개찰시간,
opengRsltDivNm,공통 (낙찰정보),개찰결과구분명,개찰결과구분명,
fnlSucsfAmt,공통 (낙찰정보),최종낙찰금액,최종낙찰금액(원),
fnlSucsfRt,공통 (낙찰정보),최종낙찰률,최종낙찰률(%),
fnlSucsfDate,공통 (낙찰정보),최종낙찰일자,최종낙찰일자,
fnlSucsfCorpNm,공통 (낙찰정보),최종낙찰업체명,최종낙찰업체명,
fnlSucsfCorpCeoNm,공통 (낙찰정보),최종낙찰업체대표자명,최종낙찰업체대표자명,
fnlSucsfCorpOfclNm,공통 (낙찰정보),최종낙찰업체담당자명,최종낙찰업체담당자명,
fnlSucsfCorpBizrno,공통 (낙찰정보),최종낙찰업체사업자번호,최종낙찰업체사업자번호,
fnlSucsfCorpAdrs,공통 (낙찰정보),최종낙찰업체주소,최종낙찰업체주소,
fnlSucsfCorpContactTel,공통 (낙찰정보),최종낙찰업체전화번호,최종낙찰업체전화번호,
cntrctCnclsSttusNm,공통 (낙찰정보),계약체결상태명,계약체결상태명,
bidwinrDcsnMthdNm,공통 (낙찰정보),낙찰자결정방법명,낙찰자결정방법명,

# ========================================
# PostgreSQL 메타/계산 컬럼 (동기화 시 생성)
# ========================================
bsns_div,PostgreSQL,업종구분,"입찰공고 대분류 (공사/물품/외자/용역)",공사
synced_at,PostgreSQL,동기화시점,기본 공고정보 동기화 시점,
bssamt_synced_at,PostgreSQL,기초금액동기화시점,기초금액 동기화 시점,
win_synced_at,PostgreSQL,낙찰정보동기화시점,낙찰정보 동기화 시점,
a_value,PostgreSQL (계산),A값,"안전관리비+보험료 합산 (GENERATED COLUMN)",
bid_count,PostgreSQL (후처리),참여업체수,참여업체수 (후처리 계산),
answer_rate,PostgreSQL (후처리),사정률,사정률 (후처리 계산),
