id,공고번호,공고제목,발주처(수요기관),지역제한,기초금액,예정가격,예가범위,A값,투찰률(%),참여업체수,공고구분표시,정답사정률(%)
1,20171233684-00,에너지(수도·가스) 원격검침시스템 2단계 구축 공사 (긴급공고),서울대학교,서울,177100000,176633825,+2% ~ -2%,0,87.745,47,기/현필,-0.26323
2,20171234239-00,서울대학교 경영대학 매니지먼트 네트워크 센터(59동) 증축 통신공사 (긴급공고),서울대학교,서울,413570000,414994825,+2% ~ -2%,0,86.745,889,기,0.34451
3,20171234224-00,2018년 음향설비 유지관리 용역 (긴급공고),서울특별시/서울특별시,서울,125247000,126722450,+3% ~ -3%,0,87.745,112,기,1.17803
4,20171234019-00,2017년 구파발역 운전취급실 이전에 따른 정보통신공사,서울교통공사,서울,79713630,79538325,+3% ~ -3%,0,87.745,1044,기,-0.21992
5,20171234635-02,경복초등학교 2학년 교실 및 복도 환경개선 통신공사 (긴급공고) (공고),서울특별시성동교육청,서울,14520000,14400000,+3% ~ -3%,0,87.745,625,정,-0.82645
6,20171232481-00,2018년 군포문화재단 전산시스템 통합유지보수 (긴급공고),재단법인,서울/경기,50004000,50990625,+3% ~ -3%,0,90,33,,1.97309
7,20171212551-00,경부선 영등포역 등 14개역 승강장안전문 센서 개량기타공사,한국철도공사,전국/서울/인천/경기,1619000000,1603534550,0% ~ -4%,0,86.745,1719,기/의무,-0.95525
8,20171221985-00,문정 동남로 가로조성 정보통신공사,서울주택도시공사,서울,263505000,263700025,+3% ~ -3%,0,87.745,959,기/정/연기,0.07401
9,20171229242-00,2017학년도 구암고 CCTV 설비 개선공사 소액수의 전자견적 제출 공고,서울특별시교육청,서울,25333555,25253725,+3% ~ -3%,0,87.745,107,기,-0.31512
10,20171228909-00,2018년도 경영대학 A/V 시스템 유지보수 용역,한국과학기술원,서울,45276000,45542250,+2% ~ -2%,0,87.995,65,기,0.58805
11,20171228219-00,서울중계초 통신선로 개선공사 (긴급공고),서울특별시교육청,서울,196330000,194608250,+3% ~ -3%,0,87.745,963,,-0.87697
12,20171227754-01,온조대왕문화체육관 리모델링 통신공사 (정정공고),서울특별시,서울,57000000,56317450,+3% ~ -3%,0,87.745,1011,기/정,-1.19746
13,20171227716-01,암사동 도시재생 앵커시설 리모델링 통신공사 (정정공고),서울특별시,서울,43341000,43799050,+3% ~ -3%,0,87.745,955,기/정,1.05685
