id,공고번호,공고제목,발주처(수요기관),지역제한,기초금액,예정가격,예가범위,A값,투찰률(%),참여업체수,공고구분표시,정답사정률(%)
1,20211235853-00,한강(섬강~동호대교) 등 9개 국가하천 실시간 모니터링체계 구축사업 (긴급공고),인천지방조달청/국토교통부,전국/서울/경기,3491202000,3491437725,+2% ~ -2%,165124528,86.745,2156,기/A값/순/의무,0.00675
2,20211239573-00,2022년 서울역사박물관 방송통신반시설 유지관리 용역 (긴급공고),서울특별시/서울특별시,서울,137293200,139568525,+3% ~ -3%,0,87.745,47,기,1.65727
3,20211239770-00,대림1동 마을도서관 신축 통신 공사,서울특별시,서울,44083000,43830350,+3% ~ -3%,0,87.745,1000,기/수의,-0.57313
4,20211238268-00,2022년도 국회 CCTV설비 유지보수 용역 (긴급공고),국회,서울,94600000,95398975,+2% ~ -2%,0,84.245,92,기,0.84458
5,20211233462-00,2022년 유량계 원격감시반 유지보수 용역(연간단가),서울특별시/서울특별시,서울,318950000,314269475,+3% ~ -3%,0,86.745,17,기,-1.46748
6,20211228975-00,미사경정공원 안전시설 강화 통신설비 공사,서울올림픽기념국민체육진흥공단,서울/경기,449668000,447652425,+2% ~ -2%,30184551,86.745,2515,기/A값/순,-0.44824
7,20211223917-00,강서(서남권) 안전교육센터 신축공사(통신),서울지방조달청/서울특별시,서울,404685000,400949800,+3% ~ -3%,26816798,87.745,1001,기/A값/협정,-0.92299
8,E012110660,154kV 강서S/S 구내통신설비 시설공사,한국전력공사,서울,254738000,252896607,+2% ~ -2%,14731625,87.745,793,기/A값/순,-0.72286
9,20211235335-00,(긴급)2022년 용인시 도서자동화장비 통합 유지관리 용역 (긴급공고),경기도,서울/경기,230653000,227630900,+3% ~ -3%,0,86.745,15,기,-1.31024
10,20211231627-00,2022년 교통관리시스템 통신공사(연간단가),서울시설공단,서울/경기,600000000,599752500,+3% ~ -3%,27175878,87.745,2400,기/A값,-0.04125
11,53938,2022년 국군수도병원 전산장비 유지보수 용역 계약,국군수도병원,서울/경기,155000000,154651699,+2% ~ -2%,0,87.745,63,기,-0.22472
12,53038,22~23년 지휘통신 신속대응 장비 유지보수 용역,국방부,서울/경기,152566166,151336769,+2% ~ -2%,0,87.745,37,기/정,-0.80582
13,20211234421-00,분당선 수원역 등 15개소 선로전환기(절연구분장치)영상감시설비 신설공사 (긴급공고),한국철도공사,서울/경기,936379000,937048550,+2% ~ -2%,59370198,86.745,2340,기/A값/순,0.07150
14,20211232766-01,2022년 터널 및 지하차도 CCTV 시스템 유지보수용역(연간단가) (정정공고),서울특별시,서울,34096500,34598875,+3% ~ -3%,0,88,100,기/정/수의,1.47339
15,20211232689-00,"2022년 터널 재방송설비(라디오, DMB) 유지관리용역(연간단가)",서울특별시,서울,44519200,43914700,+3% ~ -3%,0,88,68,기/수의,-1.35785
16,20211232963-00,2022년 정보통신설비 유지보수 용역,인천시설공단,서울/인천/경기,34696000,34445525,+3% ~ -3%,0,88,21,수의,-0.72192
